# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_cap, variable, ???
vm_prodSe, variable, ???
vm_demPe,variable,???
pm_prodCouple,parameter,???
pm_pop,parameter,???
pm_gdp,input,questionnaire
vm_shUePeT,input,questionnaire
pm_NuclearConstraint,input,questionnaire
vm_capEarlyReti,input,questionnaire
pm_regiEarlyRetiRate,input,questionnaire
pm_eta_conv,input,questionnaire
cm_startyear,input,questionnaire
cm_H2targets,input,questionnaire
cm_biolc_tech_phaseout,input,questionnaire
cm_nucscen,input,questionnaire
