*** SOF ./input/p24_disallowed.prn
$ontext
This file contains data specifying which regions are allowed to trade with which other regions for a given commodity and trade mode (pipeline/shipping).
$offtext
           OAS.pegas_pipe             SSA.pegas_pipe             EUR.pegas_pipe             NEU.pegas_pipe             MEA.pegas_pipe             REF.pegas_pipe             CAZ.pegas_pipe             CHA.pegas_pipe             USA.pegas_pipe             LAM.pegas_pipe             IND.pegas_pipe             JPN.pegas_pipe
OAS                    0                          0                          0                          0                          0                          0                          1                          1                          1                          0                          0                          0
SSA                    1                          0                          0                          1                          0                          1                          0                          0                          0                          0                          0                          0
EUR                    0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          1
NEU                    0                          0                          0                          1                          1                          1                          0                          0                          0                          0                          0                          0
MEA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
REF                    0                          1                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0
CAZ                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          1                          0
CHA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
USA                    1                          0                          0                          0                          0                          0                          0                          1                          0                          0                          1                          0
LAM                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          0                          0
IND                    0                          0                          1                          1                          0                          0                          1                          0                          0                          0                          0                          0
JPN                    0                          0                          1                          0                          0                          1                          0                          0                          0                          0                          0                          0

+       OAS.pegas_shiplng          SSA.pegas_shiplng          EUR.pegas_shiplng          NEU.pegas_shiplng          MEA.pegas_shiplng          REF.pegas_shiplng          CAZ.pegas_shiplng          CHA.pegas_shiplng          USA.pegas_shiplng          LAM.pegas_shiplng          IND.pegas_shiplng          JPN.pegas_shiplng
OAS                    0                          0                          0                          0                          0                          0                          1                          1                          1                          0                          0                          0
SSA                    1                          0                          0                          1                          0                          1                          0                          0                          0                          0                          0                          0
EUR                    0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          1
NEU                    0                          0                          0                          1                          1                          1                          0                          0                          0                          0                          0                          0
MEA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
REF                    0                          1                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0
CAZ                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          1                          0
CHA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
USA                    1                          0                          0                          0                          0                          0                          0                          1                          0                          0                          1                          0
LAM                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          0                          0
IND                    0                          0                          1                          1                          0                          0                          1                          0                          0                          0                          0                          0
JPN                    0                          0                          1                          0                          0                          1                          0                          0                          0                          0                          0                          0

*** EOF ./input/p24_disallowed.prn
