name,type,reason
vm_costAddTeInv,input,questionnaire
cm_build_H2costAddH2Inv,input,questionnaire
cm_build_costDecayStart,input,questionnaire
cm_build_H2costDecayEnd,input,questionnaire
cm_HeatLim_b,input,questionnaire
cm_ElLim_b,input,questionnaire
pm_shGasLiq_fe_up,parameter,not needed
pm_shGasLiq_fe_lo,parameter,not needed
pm_shfe_up,parameter,not needed
pm_shfe_lo,parameter,not needed
pm_tau_fe_tax,input,questionnaire
pm_tau_fe_sub,input,questionnaire
sm_TWa_2_MWh,input,questionnaire
cm_heatPumpMkup_build,input,questionnaire
cm_districtHeatingMkup_build,input,questionnaire
