# |  (C) 2006-2023 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_effGr,input,questionnaire
pm_ppfen_shares,input,questionnaire
pm_priceCO2forMAC,input,questionnaire
p37_ResidualCementDemand,input,questionnaire
p37_CementAbatementPrice,input,questionnaire
pm_ttot_val,input,questionnaire
pm_emineg_econometric,input,questionnaire
pm_switch_cement,input,questionnaire
pm_shPPPMER,input,questionnaire
pm_pop,input,questionnaire
pm_inv_gdx,input,questionnaire
cm_optimisticMAC,input,questionnaire
vm_costAddTeInv,input,questionnaire
cm_indst_H2costAddH2Inv,input,questionnaire
cm_indst_costDecayStart,input,questionnaire
cm_indst_H2costDecayEnd,input,questionnaire
pm_shGasLiq_fe_lo,parameter,not needed
pm_shGasLiq_fe_up,parameter,not needed
pm_shfe_lo,parameter,not needed
pm_shfe_up,parameter,not needed
sm_trillion_2_non,input,questionnaire
sm_TWa_2_kWh,input,questionnaire
vm_macBase,input,questionnaire
